submission_year,main_categories,count,total,proportion
2019,hep-th,21,1020,0.020588235294117647
2019,math,178,1020,0.17450980392156862
2019,math-ph,11,1020,0.010784313725490196
2019,nlin,6,1020,0.0058823529411764705
2019,nucl-ex,5,1020,0.004901960784313725
2019,nucl-th,12,1020,0.011764705882352941
2019,physics,89,1020,0.08725490196078431
2019,q-bio,8,1020,0.00784313725490196
2019,q-fin,7,1020,0.006862745098039216
2019,quant-ph,20,1020,0.0196078431372549
2019,stat,78,1020,0.07647058823529412
2020,astro-ph,92,1186,0.0775716694772344
2020,cond-mat,103,1186,0.08684654300168634
2020,cs,348,1186,0.2934232715008432
2020,econ,3,1186,0.002529510961214165
2020,eess,50,1186,0.04215851602023609
2020,gr-qc,27,1186,0.022765598650927487
2020,hep-ex,10,1186,0.008431703204047217
2020,hep-lat,2,1186,0.0016863406408094434
2020,hep-ph,28,1186,0.023608768971332208
2020,hep-th,19,1186,0.016020236087689713
2020,math,232,1186,0.19561551433389546
2020,math-ph,15,1186,0.012647554806070826
2020,nlin,12,1186,0.01011804384485666
2020,nucl-ex,6,1186,0.00505902192242833
2020,nucl-th,12,1186,0.01011804384485666
2020,physics,95,1186,0.08010118043844856
2020,q-bio,18,1186,0.01517706576728499
2020,q-fin,6,1186,0.00505902192242833
2020,quant-ph,34,1186,0.02866779089376054
2020,stat,74,1186,0.06239460370994941
2021,astro-ph,73,1124,0.06494661921708185
2021,cond-mat,96,1124,0.08540925266903915
2021,cs,418,1124,0.3718861209964413
2021,econ,5,1124,0.004448398576512456
2021,eess,43,1124,0.03825622775800712
2021,gr-qc,22,1124,0.019572953736654804
2021,hep-ex,10,1124,0.008896797153024912
2021,hep-lat,7,1124,0.006227758007117438
2021,hep-ph,26,1124,0.023131672597864767
2021,hep-th,26,1124,0.023131672597864767
2021,math,180,1124,0.1601423487544484
2021,math-ph,12,1124,0.010676156583629894
2021,nlin,11,1124,0.009786476868327402
2021,nucl-ex,4,1124,0.0035587188612099642
2021,nucl-th,6,1124,0.005338078291814947
2021,physics,87,1124,0.07740213523131673
2021,q-bio,12,1124,0.010676156583629894
2021,q-fin,5,1124,0.004448398576512456
2021,quant-ph,35,1124,0.03113879003558719
2021,stat,46,1124,0.04092526690391459
2022,astro-ph,86,1248,0.06891025641025642
2022,cond-mat,115,1248,0.0921474358974359
2022,cs,436,1248,0.34935897435897434
2022,econ,4,1248,0.003205128205128205
2022,eess,68,1248,0.05448717948717949
2022,gr-qc,16,1248,0.01282051282051282
2022,hep-ex,13,1248,0.010416666666666666
2022,hep-lat,5,1248,0.004006410256410256
2022,hep-ph,42,1248,0.03365384615384615
2022,hep-th,28,1248,0.022435897435897436
2022,math,217,1248,0.17387820512820512
2022,math-ph,15,1248,0.01201923076923077
2022,nlin,3,1248,0.002403846153846154
2022,nucl-ex,5,1248,0.004006410256410256
2022,nucl-th,7,1248,0.005608974358974359
2022,physics,82,1248,0.06570512820512821
2022,q-bio,12,1248,0.009615384615384616
2022,q-fin,7,1248,0.005608974358974359
2022,quant-ph,41,1248,0.032852564102564104
2022,stat,46,1248,0.03685897435897436
2023,astro-ph,99,1385,0.07148014440433213
2023,cond-mat,93,1385,0.06714801444043321
2023,cs,577,1385,0.41660649819494583
2023,econ,9,1385,0.006498194945848376
2023,eess,88,1385,0.06353790613718412
2023,gr-qc,19,1385,0.013718411552346571
2023,hep-ex,15,1385,0.010830324909747292
2023,hep-lat,2,1385,0.001444043321299639
2023,hep-ph,33,1385,0.023826714801444042
2023,hep-th,21,1385,0.01516245487364621
2023,math,187,1385,0.13501805054151625
2023,math-ph,15,1385,0.010830324909747292
2023,nlin,11,1385,0.007942238267148015
2023,nucl-ex,6,1385,0.004332129963898917
2023,nucl-th,7,1385,0.005054151624548736
2023,physics,96,1385,0.06931407942238267
2023,q-bio,15,1385,0.010830324909747292
2023,q-fin,9,1385,0.006498194945848376
2023,quant-ph,41,1385,0.0296028880866426
2023,stat,42,1385,0.03032490974729242
2024,astro-ph,73,1543,0.047310434219053794
2024,cond-mat,88,1543,0.057031756318859365
2024,cs,699,1543,0.45301360985093975
2024,econ,8,1543,0.005184705119896306
2024,eess,72,1543,0.046662346079066754
2024,gr-qc,18,1543,0.011665586519766688
2024,hep-ex,17,1543,0.01101749837977965
2024,hep-lat,7,1543,0.004536616979909268
2024,hep-ph,37,1543,0.023979261179520414
2024,hep-th,19,1543,0.012313674659753726
2024,math,250,1543,0.16202203499675957
2024,math-ph,12,1543,0.007777057679844459
2024,nlin,8,1543,0.005184705119896306
2024,nucl-ex,7,1543,0.004536616979909268
2024,nucl-th,14,1543,0.009073233959818535
2024,physics,110,1543,0.0712896953985742
2024,q-bio,14,1543,0.009073233959818535
2024,q-fin,9,1543,0.005832793259883344
2024,quant-ph,40,1543,0.02592352559948153
2024,stat,41,1543,0.026571613739468567
2025,astro-ph,89,1564,0.05690537084398977
2025,cond-mat,96,1564,0.061381074168797956
2025,cs,747,1564,0.47762148337595906
2025,econ,8,1564,0.005115089514066497
2025,eess,73,1564,0.046675191815856776
2025,gr-qc,25,1564,0.0159846547314578
2025,hep-ex,11,1564,0.007033248081841432
2025,hep-lat,7,1564,0.004475703324808184
2025,hep-ph,30,1564,0.01918158567774936
2025,hep-th,23,1564,0.014705882352941176
2025,math,210,1564,0.13427109974424553
2025,math-ph,9,1564,0.005754475703324808
2025,nlin,8,1564,0.005115089514066497
2025,nucl-ex,5,1564,0.00319693094629156
2025,nucl-th,6,1564,0.0038363171355498722
2025,physics,94,1564,0.06010230179028133
2025,q-bio,11,1564,0.007033248081841432
2025,q-fin,10,1564,0.00639386189258312
2025,quant-ph,53,1564,0.03388746803069054
2025,stat,49,1564,0.03132992327365729
